time,value
2024-09-02T14:57:52.702779684Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:53.836867451Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:54.655066518Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:55.802725004Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:56.867608909Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:57.802973786Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:58.758647517Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:59.715646428Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:58:00.808389161Z,{"lat":-37.86761037338587,"lon":145.2148437888776}
2024-09-02T14:58:01.823845834Z,{"lat":-37.867607204309024,"lon":145.21484424401842}
2024-09-02T14:58:02.727814605Z,{"lat":-37.86761084271893,"lon":145.21484115896075}
2024-09-02T14:58:03.869676586Z,{"lat":-37.86761063223962,"lon":145.2148139365542}
2024-09-02T14:58:04.84875776Z,{"lat":-37.867591909065936,"lon":145.21480947141242}
2024-09-02T14:58:05.985753845Z,{"lat":-37.86759402478107,"lon":145.2148038717945}
2024-09-02T14:58:06.943661501Z,{"lat":-37.867595795833935,"lon":145.214799507314}
2024-09-02T14:58:07.835416946Z,{"lat":-37.86759748954073,"lon":145.2147951508813}
2024-09-02T14:58:08.809386237Z,{"lat":-37.86759969967589,"lon":145.21478932802864}
2024-09-02T14:58:10.277816745Z,{"lat":-37.86760139633212,"lon":145.21478439313063}
2024-09-02T14:58:11.311739937Z,{"lat":-37.86760286681526,"lon":145.2147800170766}
2024-09-02T14:58:12.042449479Z,{"lat":-37.86760450384464,"lon":145.21477557047137}
2024-09-02T14:58:12.913445996Z,{"lat":-37.86760632197081,"lon":145.21477066838597}
2024-09-02T14:58:13.86381453Z,{"lat":-37.86760850192163,"lon":145.21476478877946}
2024-09-02T14:58:14.907444111Z,{"lat":-37.86761011999027,"lon":145.21476035501826}
2024-09-02T14:58:15.905119711Z,{"lat":-37.86761011999027,"lon":145.21476035501826}
2024-09-02T14:58:16.885760714Z,{"lat":-37.86761289729437,"lon":145.21483339330268}
2024-09-02T14:58:17.92642643Z,{"lat":-37.86761490105542,"lon":145.21483533942464}
2024-09-02T14:58:18.897405838Z,{"lat":-37.867616909888845,"lon":145.21483728999203}
2024-09-02T14:58:19.932599547Z,{"lat":-37.86761915183295,"lon":145.21483942851512}
2024-09-02T14:58:20.922411166Z,{"lat":-37.86762116690075,"lon":145.2148413736283}
2024-09-02T14:58:21.947427865Z,{"lat":-37.867622653510644,"lon":145.21484294908137}
2024-09-02T14:58:22.9634655Z,{"lat":-37.86762492229481,"lon":145.2148452994288}
2024-09-02T14:58:23.985657827Z,{"lat":-37.867626728996534,"lon":145.21484727982167}
2024-09-02T14:58:24.98131636Z,{"lat":-37.8676284346728,"lon":145.2148490472203}
2024-09-02T14:58:25.975506677Z,{"lat":-37.86763024926118,"lon":145.21485101732037}
2024-09-02T14:58:27.012366589Z,{"lat":-37.86763024926118,"lon":145.21485101732037}
2024-09-02T14:58:28.017483434Z,{"lat":-37.86763024926118,"lon":145.21485101732037}
2024-09-02T14:58:28.989411999Z,{"lat":-37.86763024926118,"lon":145.21485101732037}
2024-09-02T14:58:29.984862872Z,{"lat":-37.86763024926118,"lon":145.21485101732037}
2024-09-02T14:58:31.025718981Z,{"lat":-37.86763024926118,"lon":145.21485101732037}
2024-09-02T14:58:32.034566464Z,{"lat":-37.86763024926118,"lon":145.21485101732037}
2024-09-02T14:58:33.042730913Z,{"lat":-37.86763024926118,"lon":145.21485101732037}
2024-09-02T14:58:34.09267677Z,{"lat":-37.86763024926118,"lon":145.21485101732037}
2024-09-02T14:58:35.067409608Z,{"lat":-37.86763024926118,"lon":145.21485101732037}
2024-09-02T14:58:36.065486279Z,{"lat":-37.86763024926118,"lon":145.21485101732037}
2024-09-02T14:58:37.092557062Z,{"lat":-37.86763024926118,"lon":145.21485101732037}
2024-09-02T14:58:38.189712087Z,{"lat":-37.86763024926118,"lon":145.21485101732037}
2024-09-02T14:58:39.111345082Z,{"lat":-37.867611595130036,"lon":145.2148440002017}
2024-09-02T14:58:40.134869911Z,{"lat":-37.867611595130036,"lon":145.2148440002017}
2024-09-02T14:58:41.134080508Z,{"lat":-37.867611595130036,"lon":145.2148440002017}
2024-09-02T14:58:42.132053038Z,{"lat":-37.867611595130036,"lon":145.2148440002017}
2024-09-02T14:58:43.116950275Z,{"lat":-37.867611595130036,"lon":145.2148440002017}
2024-09-02T14:58:44.150671152Z,{"lat":-37.867611595130036,"lon":145.2148440002017}
2024-09-02T14:58:45.187878009Z,{"lat":-37.867611595130036,"lon":145.2148440002017}
2024-09-02T14:58:46.198375683Z,{"lat":-37.867611595130036,"lon":145.2148440002017}
2024-09-02T14:58:47.179805892Z,{"lat":-37.867611595130036,"lon":145.2148440002017}
2024-09-02T14:58:48.186527792Z,{"lat":-37.867611595130036,"lon":145.2148440002017}
2024-09-02T14:58:49.180565219Z,{"lat":-37.867611595130036,"lon":145.2148440002017}
2024-09-02T14:58:50.186830655Z,{"lat":-37.867611595130036,"lon":145.2148440002017}
2024-09-02T14:58:51.190579161Z,{"lat":-37.8676104442776,"lon":145.2148435672859}
2024-09-02T14:58:52.218685203Z,{"lat":-37.8676104442776,"lon":145.2148435672859}
2024-09-02T14:58:53.237573128Z,{"lat":-37.86760715964112,"lon":145.21484258624537}
2024-09-02T14:58:54.238329108Z,{"lat":-37.86759535796694,"lon":145.21482440764842}
2024-09-02T14:58:55.283002946Z,{"lat":-37.86759344708631,"lon":145.21482059563996}
2024-09-02T14:58:56.242904356Z,{"lat":-37.867591777091924,"lon":145.21481568674983}
2024-09-02T14:58:57.366723268Z,{"lat":-37.86759007951852,"lon":145.2148114780078}
2024-09-02T14:58:58.296171025Z,{"lat":-37.867587916999256,"lon":145.2148062721408}
2024-09-02T14:58:59.90799815Z,{"lat":-37.86758608067863,"lon":145.2148015964249}
